task_id,reward_edge,reward_cloud,success_edge,success_cloud,termination_edge,termination_cloud
"course_teach-For each hometown, how many teachers are there?",1.0,1.0,True,True,standalone_submit,combined_sql_submit
cre_Doc_Template_Mgt-Count the number of paragraphs.,1.0,1.0,True,True,standalone_submit,combined_sql_submit
tvshow-What are the names of all cartoons directed by Ben Jones?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
orchestra-What are the orchestras that do not have any performances?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
tvshow-List the title of all cartoons in alphabetical order.,1.0,0.0,True,False,standalone_submit,standalone_submit
car_1-What is the accelerate of the car make amc hornet sportabout (sw)?,1.0,0.0,True,False,standalone_submit,max_steps_without_submit
poker_player-What is the money rank of the tallest poker player?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
singer-Please show the most common citizenship of singers.,0.0,0.0,False,False,standalone_submit,combined_sql_submit
"voter_1-Of all the contestants who got voted, what is the contestant number and name of the contestant who got least votes?",1.0,1.0,True,True,standalone_submit,combined_sql_submit
flight_2-Find the abbreviation and country of the airline that has fewest number of flights?,0.0,0.0,False,False,standalone_submit,combined_sql_submit
flight_2-How many flights depart from City 'Aberdeen' and have destination City 'Ashley'?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
world_1-What is the average GNP and total population in all nations whose government is US territory?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
pets_1-Find the number of pets whose weight is heavier than 10.,1.0,1.0,True,True,standalone_submit,combined_sql_submit
"car_1-For all of the 4 cylinder cars, which model has the most horsepower?",0.0,0.0,False,False,standalone_submit,combined_sql_submit
"cre_Doc_Template_Mgt-What are the ids, version numbers, and type codes for each template?",1.0,1.0,True,True,standalone_submit,combined_sql_submit
network_1-Show the names of all high schoolers in grade 10.,1.0,1.0,True,True,standalone_submit,combined_sql_submit
car_1-What is the average horsepower of the cars before 1980?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
concert_singer-List all singer names in concerts in year 2014.,0.83,0.83,False,False,standalone_submit,combined_sql_submit
wta_1-Find the average age of losers and winners of all matches.,1.0,1.0,True,True,standalone_submit,combined_sql_submit
flight_2-What country is Jetblue Airways affiliated with?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
employee_hire_evaluation-Find the name of the shops that do not hire any employee.,1.0,1.0,True,True,standalone_submit,combined_sql_submit
orchestra-Count the number of different nationalities of conductors.,1.0,1.0,True,True,standalone_submit,combined_sql_submit
dog_kennels-What are the date and the operating professional's first name of each treatment?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
wta_1-How many players are there?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
battle_death-How many battles did not lose any ship with tonnage '225'?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
pets_1-Find the first name of students who have both cat and dog pets .,1.0,1.0,True,True,standalone_submit,combined_sql_submit
dog_kennels-What is the description of the treatment type that costs the least money in total?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
tvshow-What is the maximum and minimum share for the TV series?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
car_1-Which countries in europe have at least 3 car manufacturers?,0.0,0.0,False,False,standalone_submit,combined_sql_submit
course_teach-What are the names of the teachers ordered by ascending age?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
flight_2-Find all airlines that have flights from both airports 'APG' and 'CVO'.,1.0,1.0,True,True,standalone_submit,combined_sql_submit
"flight_2-What are flight numbers of flights arriving at City ""Aberdeen""?",0.0,1.0,False,True,standalone_submit,combined_sql_submit
student_transcripts_tracking-What is the degree summary name that has the most number of students enrolled?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
battle_death-List the name and date the battle that has lost the ship named 'Lettice' and the ship named 'HMS Atalanta',0.0,1.0,False,True,standalone_submit,combined_sql_submit
student_transcripts_tracking-How many times at most can a course enrollment result show in different transcripts? Also show the course enrollment id.,1.0,1.0,True,True,standalone_submit,combined_sql_submit
concert_singer-What are the names of the singers who performed in a concert in 2014?,0.83,1.0,False,True,standalone_submit,combined_sql_submit
orchestra-What is the name of the conductor who has conducted the most orchestras?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
battle_death-What is the ship id and name that caused most total injuries?,0.0,0.0,False,False,standalone_submit,combined_sql_submit
world_1-What are the cities whose population is between 160000 and 900000?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
dog_kennels-What are all the possible breed type and size type combinations?,0.0,0.0,False,False,standalone_submit,combined_sql_submit
singer-Show the citizenship shared by singers with birth year before 1945 and after 1955.,1.0,1.0,True,True,standalone_submit,combined_sql_submit
student_transcripts_tracking-What are the first names of the students who live in Haiti permanently or have the cell phone number 09700166582 ?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
tvshow-Which country has the most of TV Channels? List the country and number of TV Channels it has.,1.0,1.0,True,True,standalone_submit,combined_sql_submit
"world_1-How many people live in Asia, and what is the largest GNP among them?",1.0,1.0,True,True,standalone_submit,combined_sql_submit
world_1-What are the names of all the countries that became independent after 1950?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
"poker_player-What are the names of poker players, ordered ascending by the number of final tables they have made?",1.0,1.0,True,True,standalone_submit,combined_sql_submit
flight_2-Which abbreviation corresponds to Jetblue Airways?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
orchestra-Please show the record formats of orchestras in ascending order of count.,0.0,0.0,False,False,standalone_submit,combined_sql_submit
voter_1-What is the area code in which the most voters voted?,1.0,1.0,True,True,standalone_submit,combined_sql_submit
flight_2-Find the name of airports which do not have any flight in and out.,1.0,1.0,True,True,standalone_submit,combined_sql_submit
