title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"AgentRouter: Heterogeneous Model Routing for Cost-Optimal Multi-Step Agentic Workflows",2026,"ICML / PMLR 306 paper PDF","https://openreview.net/pdf?id=nu3GPfkyJV","method + benchmark",4,4,4,Risk,"Direct step-level trajectory routing and switch-frequency analysis","Strong direct overlap"
"Hera: Learning Long-Horizon Coordination for Device-Cloud Collaborative LLM Agents",2026,"arXiv preprint","https://arxiv.org/abs/2605.24598","pure method",4,4,4,Risk,"Direct step-level device-cloud routing with IL and RL","Strong direct overlap"
"SWE-Router: Routing in Multi-turn Agentic Software Engineering Tasks",2026,"arXiv preprint","https://arxiv.org/abs/2607.00053","method + benchmark",5,4,4,Risk,"Partial-trajectory value-based escalation with released data","Strong temporal-routing overlap"
"Agentic Routing: The Harness-Native Data Flywheel",2026,"arXiv technical report","https://arxiv.org/abs/2607.11399","system/tool",4,3,3,Risk,"Harness-state-conditioned step routing and data flywheel","Very recent technical report"
"Speculative Actions: A Lossless Framework for Faster AI Agents",2026,"ICLR Oral","https://openreview.net/forum?id=P0GOk5wslg","pure method",5,4,4,Risk,"Action-level speculation with validation and reversible effects","Strong systems anchor"
"LLM-as-Scheduler: Agentic Workflow Dynamic Scheduling",2026,"ACL","https://aclanthology.org/2026.acl-long.581/","pure method",4,4,4,A,"Adaptive workflow exit and routing from intermediate artifacts","Strong workflow baseline"
"A Unified Approach to Routing and Cascading for LLMs",2025,"ICML / PMLR 267","https://proceedings.mlr.press/v267/dekoninck25a.html","theory/proof + method",5,5,4,A,"Theoretical query routing and cascading framework","High-quality anchor"
"RouteLLM: Learning to Route LLMs with Preference Data",2025,"ICLR","https://arxiv.org/abs/2406.18665","pure method",4,4,4,A,"Canonical strong-versus-weak query router","Required baseline"
"FrugalGPT: How to Use Large Language Models While Reducing Cost and Improving Performance",2024,"TMLR","https://openreview.net/forum?id=cSimKw5p6R","pure method",4,5,4,A,"Canonical cascade and escalation baseline","Required baseline"
"Scaling Long-Horizon Agent via Context Folding",2026,"ICML","https://openreview.net/forum?id=lNRgWoGfYg","pure method",4,4,4,Risk,"Learned subtrajectory folding","Context-compression overlap"
"State Compression in Two-Agent LLM Relays: A Closed-World Study of Constraint Preservation",2026,"arXiv preprint","https://arxiv.org/abs/2607.18265","method + benchmark",3,3,3,Risk,"Structured handoff payload comparison","Close but narrow setting"
"Portable Agent Memory: A Protocol for Cryptographically-Verified Memory Transfer Across Heterogeneous AI Agents",2026,"arXiv preprint","https://arxiv.org/abs/2605.11032","system/tool",4,3,3,Risk,"Structured provenance-aware cross-agent memory transfer","Broad protocol overlap"
"Handoff Debt: The Rediscovery Cost When Coding Agents Take Over Interrupted Tasks",2026,"arXiv preprint","https://arxiv.org/abs/2606.02875","method + benchmark",4,4,4,Risk,"Measures successor rediscovery under handoff views","Strong evaluation overlap"
"Adaptive AI Agent Placement and Migration in Edge Intelligence Systems",2025,"arXiv preprint","https://arxiv.org/abs/2508.03345","system/tool",3,3,3,Risk,"Edge placement and essential-state migration","Deployment overlap"
"Atomix: Progress-Aware Transactional Runtime for Agent Tool Calls",2026,"ICLR Agents in the Wild Workshop","https://openreview.net/forum?id=UeRbEpSVUz","system/tool",4,3,3,Risk,"Transactional external effects and compensation","Direct transaction baseline"
