task_id,task_index,hardness,query,reward_edge,reward_cloud,success_edge,success_cloud
course_teach-List the names of teachers who have not been arranged to teach courses.,701,hard,List the names of teachers who have not been arranged to teach courses.,1.0,1.0,True,True
world_1-How many people live in countries that do not speak English?,992,extra,How many people live in countries that do not speak English?,1.0,0.0,True,False
pets_1-Find the last name of the student who has a cat that is age 3.,364,hard,Find the last name of the student who has a cat that is age 3.,1.0,1.0,True,True
dog_kennels-Find the number of owners who do not own any dogs at this moment.,870,extra,Find the number of owners who do not own any dogs at this moment.,1.0,1.0,True,True
"student_transcripts_tracking-Show the date of the transcript which shows the least number of results, also list the id.",964,extra,"Show the date of the transcript which shows the least number of results, also list the id.",0.0,1.0,False,True
world_1-Which regions speak Dutch or English?,1013,hard,Which regions speak Dutch or English?,1.0,1.0,True,True
wta_1-What are the country code and first name of the players who won in both tourney WTA Championships and Australian Open?,698,extra,What are the country code and first name of the players who won in both tourney WTA Championships and Australian Open?,1.0,1.0,True,True
cre_Doc_Template_Mgt-Return the type code of the template type that the most templates belong to.,882,hard,Return the type code of the template type that the most templates belong to.,1.0,1.0,True,True
world_1-Find the number of cities in each district whose population is greater than the average population of cities?,542,extra,Find the number of cities in each district whose population is greater than the average population of cities?,0.0,0.0,False,False
student_transcripts_tracking-What is the program id and the summary of the degree that has the most students enrolled?,833,extra,What is the program id and the summary of the degree that has the most students enrolled?,1.0,1.0,True,True
tvshow-What is the series name and country of all TV channels that are playing cartoons directed by Ben Jones and cartoons directed by Michael Chang?,874,extra,What is the series name and country of all TV channels that are playing cartoons directed by Ben Jones and cartoons directed by Michael Chang?,0.17,0.17,False,False
museum_visit-Find the number of visitors who did not visit any museum opened after 2010.,611,extra,Find the number of visitors who did not visit any museum opened after 2010.,1.0,1.0,True,True
poker_player-List the names of people that are not poker players.,923,hard,List the names of people that are not poker players.,1.0,1.0,True,True
cre_Doc_Template_Mgt-What are the ids for templates that are not used in any documents?,1021,hard,What are the ids for templates that are not used in any documents?,1.0,1.0,True,True
student_transcripts_tracking-Find the kind of program which most number of students are enrolled in?,980,extra,Find the kind of program which most number of students are enrolled in?,1.0,1.0,True,True
dog_kennels-Which owner has paid the largest amount of money in total for their dogs? Show the owner id and zip code.,465,extra,Which owner has paid the largest amount of money in total for their dogs? Show the owner id and zip code.,1.0,1.0,True,True
wta_1-List the names of all winners who played in both 2013 and 2016.,382,hard,List the names of all winners who played in both 2013 and 2016.,1.0,1.0,True,True
wta_1-What is the name of the winner with the most rank points who participated in the Australian Open tournament?,94,hard,What is the name of the winner with the most rank points who participated in the Australian Open tournament?,1.0,0.0,True,False
pets_1-Find the id of students who do not have a cat pet.,612,hard,Find the id of students who do not have a cat pet.,1.0,1.0,True,True
course_teach-What is the most commmon hometowns for teachers?,790,hard,What is the most commmon hometowns for teachers?,0.0,0.0,False,False
car_1-Which models are lighter than 3500 but not built by the 'Ford Motor Company'?,881,extra,Which models are lighter than 3500 but not built by the 'Ford Motor Company'?,0.0,0.0,False,False
poker_player-Return the birth date of the poker player with the lowest earnings.,320,hard,Return the birth date of the poker player with the lowest earnings.,1.0,1.0,True,True
student_transcripts_tracking-Which semesters do not have any student enrolled? List the semester name.,672,hard,Which semesters do not have any student enrolled? List the semester name.,1.0,1.0,True,True
world_1-Which Asian countries have a population that is larger than any country in Africa?,927,extra,Which Asian countries have a population that is larger than any country in Africa?,1.0,1.0,True,True
world_1-What are the countries that have greater surface area than any country in Europe?,805,hard,What are the countries that have greater surface area than any country in Europe?,0.0,0.0,False,False
tvshow-What are the countries that are not playing cartoons written by Todd Casey?,876,hard,What are the countries that are not playing cartoons written by Todd Casey?,0.33,1.0,False,True
world_1-What is the most populace city that speaks English?,221,extra,What is the most populace city that speaks English?,0.0,0.0,False,False
student_transcripts_tracking-What is the name of the semester with no students enrolled?,598,hard,What is the name of the semester with no students enrolled?,1.0,1.0,True,True
concert_singer-Show names for all stadiums except for stadiums having a concert in year 2014.,806,hard,Show names for all stadiums except for stadiums having a concert in year 2014.,1.0,1.0,True,True
car_1-How many cars have a larger accelerate than the car with the largest horsepower?,829,hard,How many cars have a larger accelerate than the car with the largest horsepower?,0.0,1.0,False,True
museum_visit-What is the name of the visitor who visited both a museum opened before 2009 and a museum opened after 2011?,508,extra,What is the name of the visitor who visited both a museum opened before 2009 and a museum opened after 2011?,0.33,1.0,False,True
world_1-What language is predominantly spoken in Aruba?,286,extra,What language is predominantly spoken in Aruba?,1.0,1.0,True,True
network_1-Show name of all students who have some friends and also are liked by someone else.,971,hard,Show name of all students who have some friends and also are liked by someone else.,1.0,1.0,True,True
"wta_1-What is the first name, country code, and birth date of the player with the most winner rank points across all matches?",688,hard,"What is the first name, country code, and birth date of the player with the most winner rank points across all matches?",1.0,1.0,True,True
dog_kennels-How many dogs have an age below the average?,879,hard,How many dogs have an age below the average?,1.0,1.0,True,True
tvshow-Find the series name and country of the tv channel that is playing some cartoons directed by Ben Jones and Michael Chang?,891,extra,Find the series name and country of the tv channel that is playing some cartoons directed by Ben Jones and Michael Chang?,0.25,0.0,False,False
dog_kennels-Tell me the owner id and last name of the owner who spent the most on treatments of his or her dogs.,151,extra,Tell me the owner id and last name of the owner who spent the most on treatments of his or her dogs.,0.0,0.0,False,False
network_1-What is the name of the high schooler who has the greatest number of likes?,520,extra,What is the name of the high schooler who has the greatest number of likes?,1.0,1.0,True,True
"car_1-For the cars with 4 cylinders, which model has the largest horsepower?",399,extra,"For the cars with 4 cylinders, which model has the largest horsepower?",0.0,0.0,False,False
flight_2-Give the code of the airport with the least flights.,349,extra,Give the code of the airport with the least flights.,0.0,0.0,False,False
"world_1-Find the name, population and expected life length of asian country with the largest area?",591,hard,"Find the name, population and expected life length of asian country with the largest area?",1.0,1.0,True,True
concert_singer-What is the year that had the most concerts?,738,hard,What is the year that had the most concerts?,1.0,1.0,True,True
