title,year,venue_or_source,link,role,overall_label,mechanism,agentrelay_implication
"Hera: Learning Long-Horizon Coordination for Device-Cloud Collaborative LLM Agents",2026,"arXiv","https://arxiv.org/abs/2605.24598","direct routing",Risk,"step-level device-cloud routing","Do not claim first step-level routing"
"AgentRouter: Heterogeneous Model Routing for Cost-Optimal Multi-Step Agentic Workflows",2026,"ICML/PMLR paper PDF","https://openreview.net/pdf?id=nu3GPfkyJV","direct routing",Risk,"trajectory-aware heterogeneous routing","Classifier-only contribution is insufficient"
"Speculative Actions: A Lossless Framework for Faster AI Agents",2026,"ICLR Oral","https://openreview.net/forum?id=P0GOk5wslg","execution",Risk,"validate speculative actions before commit","Focus on migration coupling rather than validation alone"
"Portable Agent Memory",2026,"arXiv","https://arxiv.org/abs/2605.11032","state portability",Risk,"structured provenance-aware heterogeneous memory","Do not claim first portable or verified agent state"
"Atomix: Progress-Aware Transactional Runtime for Agent Tool Calls",2026,"arXiv","https://arxiv.org/abs/2602.14849","effect transactions",Risk,"progress-aware transactional effect semantics","Use effect progress as a routing constraint"
"Cordon: Semantic Transactions for Tool-Using LLM Agents",2026,"arXiv","https://arxiv.org/abs/2606.17573","semantic transactions",Risk,"task-level transaction and effect outbox","Remove broad transactional-runtime novelty"
"Causal Past Logic for Runtime Verification of Distributed LLM Agent Workflows",2026,"arXiv","https://arxiv.org/abs/2605.20923","runtime verification",Risk,"causal-past guards and vector-clock monitoring","Use causal closure for transfer minimization not verification novelty"
"SAGA: Workflow-Atomic Scheduling for AI Agent Inference on GPU Clusters",2026,"arXiv","https://arxiv.org/abs/2605.00528","workflow scheduling",Risk,"workflow graph and session-aware GPU scheduling","Avoid broad workflow-aware scheduling claims"
"Continuation-Centric Computing with Arca",2026,"OSDI","https://www.usenix.org/conference/osdi26/presentation/srivatsan","continuations",A,"serializable portable continuations","Differentiate model-semantic from process continuation"
"Fault-tolerant and transactional stateful serverless workflows",2020,"OSDI","https://www.usenix.org/conference/osdi20/presentation/zhang-haoran","durable workflows",A,"fault tolerance and transactional workflows","Reuse durability principles without claiming novelty"
"Scalable Atomic Visibility with RAMP Transactions",2014,"SIGMOD","https://www.bailis.org/papers/ramp-sigmod2014.pdf","selective repair",A,"metadata-assisted partial-read detection and repair","Anchor dependency metadata and selective patch"
"Noria: Dynamic, Partially-Stateful Data-Flow for High-Performance Web Applications",2018,"OSDI","https://www.usenix.org/conference/osdi18/presentation/gjengset","partial state",A,"partial materialization and on-demand reconstruction","Anchor minimal continuation materialization"
"Proof-Carrying Code",1997,"POPL","https://doi.org/10.1145/263699.263712","evidence validation",A,"producer-supplied cheaply checkable evidence","Use evidence-carrying wording unless proofs exist"
"Safety-Aware Algorithms for Adversarial Contextual Bandit",2017,"ICML","https://proceedings.mlr.press/v70/sun17a.html","safe online decisions",A,"sequential risk constraints","Constrain routing risk explicitly"
"Automatically Adaptive Conformal Risk Control",2025,"AISTATS","https://proceedings.mlr.press/v258/blot25a.html","calibrated risk",A,"difficulty-adaptive risk control","Calibrate abstention using train/dev only"

