query,reward_edge,reward_cloud,success_edge,success_cloud
"For each hometown, how many teachers are there?",1.0,1.0,1,1
"Count the number of paragraphs.",1.0,1.0,1,1
"What are the names of all cartoons directed by Ben Jones?",1.0,1.0,1,1
"What are the orchestras that do not have any performances?",1.0,1.0,1,1
"List the title of all cartoons in alphabetical order.",1.0,1.0,1,1
"What is the accelerate of the car make amc hornet sportabout (sw)?",1.0,1.0,1,1
"What is the money rank of the tallest poker player?",1.0,1.0,1,1
"Please show the most common citizenship of singers.",0.0,0.0,0,0
"Of all the contestants who got voted, what is the contestant number and name of the contestant who got least votes?",1.0,1.0,1,1
"Find the abbreviation and country of the airline that has fewest number of flights?",0.0,0.0,0,0
"How many flights depart from City 'Aberdeen' and have destination City 'Ashley'?",1.0,1.0,1,1
"What is the average GNP and total population in all nations whose government is US territory?",1.0,1.0,1,1
"Find the number of pets whose weight is heavier than 10.",1.0,1.0,1,1
"For all of the 4 cylinder cars, which model has the most horsepower?",0.0,0.0,0,0
"What are the ids, version numbers, and type codes for each template?",1.0,1.0,1,1
"Show the names of all high schoolers in grade 10.",1.0,1.0,1,1
"What is the average horsepower of the cars before 1980?",1.0,1.0,1,1
"List all singer names in concerts in year 2014.",0.83,0.83,0,0
"Find the average age of losers and winners of all matches.",1.0,1.0,1,1
"What country is Jetblue Airways affiliated with?",1.0,1.0,1,1
"Find the name of the shops that do not hire any employee.",1.0,1.0,1,1
"Count the number of different nationalities of conductors.",1.0,1.0,1,1
"What are the date and the operating professional's first name of each treatment?",1.0,1.0,1,1
"How many players are there?",1.0,1.0,1,1
"How many battles did not lose any ship with tonnage '225'?",1.0,1.0,1,1
"Find the first name of students who have both cat and dog pets .",1.0,1.0,1,1
"What is the description of the treatment type that costs the least money in total?",1.0,1.0,1,1
"What is the maximum and minimum share for the TV series?",1.0,1.0,1,1
"Which countries in europe have at least 3 car manufacturers?",0.0,0.0,0,0
"What are the names of the teachers ordered by ascending age?",1.0,1.0,1,1
"Find all airlines that have flights from both airports 'APG' and 'CVO'.",1.0,1.0,1,1
"What are flight numbers of flights arriving at City \"Aberdeen\"?",0.0,1.0,0,1
"What is the degree summary name that has the most number of students enrolled?",1.0,1.0,1,1
"List the name and date the battle that has lost the ship named 'Lettice' and the ship named 'HMS Atalanta'",0.0,1.0,0,1
"How many times at most can a course enrollment result show in different transcripts? Also show the course enrollment id.",1.0,1.0,1,1
"What are the names of the singers who performed in a concert in 2014?",0.83,0.83,0,0
"What is the name of the conductor who has conducted the most orchestras?",1.0,1.0,1,1
"What is the ship id and name that caused most total injuries?",0.0,0.0,0,0
"What are the cities whose population is between 160000 and 900000?",1.0,1.0,1,1
"What are all the possible breed type and size type combinations?",0.0,0.0,0,0
"Show the citizenship shared by singers with birth year before 1945 and after 1955.",1.0,1.0,1,1
"What are the first names of the students who live in Haiti permanently or have the cell phone number 09700166582 ?",1.0,1.0,1,1
"Which country has the most of TV Channels? List the country and number of TV Channels it has.",1.0,1.0,1,1
"How many people live in Asia, and what is the largest GNP among them?",1.0,1.0,1,1
"What are the names of all the countries that became independent after 1950?",1.0,1.0,1,1
"What are the names of poker players, ordered ascending by the number of final tables they have made?",1.0,1.0,1,1
"Which abbreviation corresponds to Jetblue Airways?",1.0,1.0,1,1
"Please show the record formats of orchestras in ascending order of count.",0.0,0.0,0,0
"What is the area code in which the most voters voted?",1.0,1.0,1,1
"Find the name of airports which do not have any flight in and out.",1.0,0.84,1,0
