split,domain,task_id,sample_id,edge_reward,cloud_reward,delta_reward_cloud_minus_edge,edge_success,cloud_success,edge_exclusive,cloud_exclusive,both_success,oracle_reward,edge_steps,cloud_steps,edge_termination,cloud_termination,edge_parser_recovery_count,cloud_parser_recovery_count,edge_parser_recovery_fraction,cloud_parser_recovery_fraction,edge_malformed_json,cloud_malformed_json,edge_invalid_tool,cloud_invalid_tool,edge_tool_error,cloud_tool_error,first_input_identical
train,airline,1,airline:1,1.0,1.0,0.0,1,1,0,0,1,1.0,24,10,user_stop,user_stop,12,10,0.5,1.0,1,0,0,0,0,0,1
train,airline,10,airline:10,1.0,1.0,0.0,1,1,0,0,1,1.0,2,12,user_stop,user_stop,2,12,1.0,1.0,1,0,0,0,0,0,1
train,airline,12,airline:12,0.0,0.0,0.0,0,0,0,0,0,0.0,26,12,user_stop,user_stop,11,12,0.423077,1.0,1,0,0,0,0,0,1
train,airline,14,airline:14,0.0,0.0,0.0,0,0,0,0,0,0.0,3,5,user_stop,user_stop,2,5,0.666667,1.0,0,0,0,0,0,0,1
train,airline,15,airline:15,0.0,0.0,0.0,0,0,0,0,0,0.0,7,12,user_stop,user_stop,7,12,1.0,1.0,2,0,0,0,0,0,1
train,airline,17,airline:17,0.0,0.0,0.0,0,0,0,0,0,0.0,32,7,user_stop,user_stop,4,7,0.125,1.0,1,0,0,0,0,0,1
train,airline,20,airline:20,0.0,0.0,0.0,0,0,0,0,0,0.0,13,12,user_stop,user_stop,13,12,1.0,1.0,4,1,0,0,0,0,1
train,airline,21,airline:21,0.0,0.0,0.0,0,0,0,0,0,0.0,6,11,user_stop,user_stop,5,11,0.833333,1.0,2,0,0,0,0,0,1
train,airline,23,airline:23,0.0,0.0,0.0,0,0,0,0,0,0.0,2,16,user_stop,user_stop,2,16,1.0,1.0,1,0,0,0,0,0,1
train,airline,27,airline:27,0.0,0.0,0.0,0,0,0,0,0,0.0,7,8,user_stop,user_stop,7,8,1.0,1.0,1,0,0,0,0,0,1
train,airline,33,airline:33,0.0,0.0,0.0,0,0,0,0,0,0.0,9,12,user_stop,user_stop,7,12,0.777778,1.0,1,0,0,0,0,0,1
train,airline,36,airline:36,0.0,1.0,1.0,0,1,0,1,0,1.0,50,12,max_steps,user_stop,3,12,0.06,1.0,0,0,0,0,0,0,1
