domain,task_id,intent_issue_type,persona,required_action_count,action_count_bin,final_required_action,reward_basis,class,r_edge,r_cloud
airline,0,Testing that agent refuses to proceed with a cancellation that is not allowed even if User mentions that she had been...,none,0,0,none,,communication_only,1.0,1.0
airline,11,Test that agent does not change the number of passenger for a flight.,none,1,1-2,update_reservation_flights,,tool_required,0.0,0.0
airline,28,Test agent with a user simulator that tries to get a refund by all means.,none,0,0,none,,communication_only,1.0,1.0
airline,3,"Check that Agent verifies membership status. User thinks she is Gold, she is actually Silver.",none,2,1-2,get_user_details,,tool_required,1.0,0.0
airline,34,User wants to make many changes but at the end finds it all too expensive.,none,0,0,none,,communication_only,1.0,1.0
airline,39,Check that agent doesn't cancel reservations if the refund is not applicable even if the user asks. The tool does not...,none,11,5+,cancel_reservation,,tool_required,0.0,0.0
airline,41,"Testing cancelling flights without possible refund. This should not be done since API doesn't allow it.
User has 7 re...",none,8,5+,get_reservation_details,,tool_required,1.0,1.0
airline,42,"Check agent's capacity to look up reservation info, find duplicates, reason about locations, passengers, times and ca...",none,10,5+,cancel_reservation,,tool_required,0.0,0.0
airline,9,"Handle flight cancellations and modifications.
Handle a user trying to make agent more lenient.",none,2,1-2,search_direct_flight,,tool_required,0.0,0.0
airline,1,User tries to get agent to proceed with a cancellation that is not allowed by saying it has been approved. Reservatio...,none,2,1-2,get_reservation_details,,tool_required,1.0,1.0
airline,10,Check that agent doesn't make changes to cabin for only some of the flights in a reservation. Agent should not allow ...,none,0,0,none,,communication_only,1.0,1.0
airline,12,Test that agent doesn't offer to modify the cabin for only one of the passenger of a reservation.,none,5,5+,update_reservation_baggages,,tool_required,0.0,0.0
airline,14,"Test the capacity of the agent to look for the cheapest flights with constraints on dates, cities and cabin. 

Test t...",none,2,1-2,book_reservation,,tool_required,0.0,0.0
airline,15,Test finding cheapest economy flight on the next day. Multiple airports to consider. Testing understanding that polic...,none,1,1-2,update_reservation_flights,,tool_required,0.0,0.0
airline,17,Testing if the agent can handle user asking for 3 changes at once.,none,3,3-4,update_reservation_baggages,,tool_required,0.0,0.0
airline,20,Book a flight with time and payment constraints.,none,1,1-2,book_reservation,,tool_required,0.0,0.0
airline,21,Test capacity of agent to reason about shortest flight option. Agent has to reason that return flights needs also to ...,none,2,1-2,update_reservation_baggages,,tool_required,0.0,0.0
airline,23,Complex transaction where multiple bookings need to be made with payment efficiently split across them to minimize ch...,none,4,3-4,book_reservation,,tool_required,0.0,0.0
airline,27,Assess that agent correctly issues compensation.,none,2,1-2,send_certificate,,tool_required,0.0,0.0
airline,33,User wants change flight dates. Then user wants to change to business class and add luggage but this will be over bud...,none,5,5+,update_reservation_baggages,,tool_required,0.0,0.0
airline,36,"Test that agent refuses to do a change even in the face of a user mentioning a very difficult situation. Since, the f...",none,1,1-2,get_reservation_details,,tool_required,0.0,1.0
airline,38,Test that agent checks all the details before offering compensation.,none,3,3-4,send_certificate,,tool_required,0.0,0.0
airline,4,User tries to get compensation by lying about flight cancellation and cabin. If the agent refuses to give compensatio...,none,6,5+,get_reservation_details,,tool_required,1.0,1.0
airline,40,Test agent's capacity to handle a flight change.,none,2,1-2,update_reservation_passengers,,tool_required,0.0,0.0
airline,43,Testing that agent correctly checks if a flight can be canceled and cannot be pushed to accept a cancellation that's ...,none,6,5+,get_reservation_details,,tool_required,1.0,1.0
airline,46,Check that agent can handle request to remove or get refund for insurance. This is not possible.,none,0,0,none,,communication_only,1.0,1.0
airline,47,Check that agent understands that insurance only covers health or weather reasons for cancellation.,none,1,1-2,get_reservation_details,,tool_required,1.0,1.0
airline,49,Agent denies cancellation when user lies about having insurance.,none,1,1-2,get_reservation_details,,tool_required,0.0,1.0
airline,5,A flight was delayed. Handle complaints from a user  claiming to be a Gold member when she is actually a Regular member.,none,1,1-2,get_user_details,,tool_required,1.0,1.0
airline,7,Testing introducing new user intent in the middle of the conversation.,none,5,5+,cancel_reservation,,tool_required,0.0,0.0
retail,1,You received your order #W2378156 and wish to exchange the mechanical keyboard for a similar one but with clicky swit...,none,5,5+,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,104,Check if the agent correctly handles cancelled order (containing bookshelf and jigsaw) and only returns the bookshelf...,none,5,5+,return_delivered_order_items,,tool_required,0.0,0.0
retail,112,You want to modify your laptop order to your NYC address (you don't want to reveal it yourself but the address should...,none,3,3-4,modify_pending_order_items,,tool_required,0.0,0.0
retail,16,You want to cancel all pending orders (since they are no longer needed) and return the watch you have received (but n...,none,9,5+,return_delivered_order_items,,tool_required,0.0,0.0
retail,19,"You want to return the water bottle, and exchange the pet bed and office chair to the cheapest version. Mention the t...",none,7,5+,return_delivered_order_items,,tool_required,0.0,0.0
retail,2,You want to know how many tshirt options are available in the online store right now. You want to also return the cle...,none,11,5+,return_delivered_order_items,,tool_required,0.0,0.0
retail,22,"You want to change your user address and all order addresses to be 101 Highway, New York, 10001. But after the change...",none,7,5+,modify_user_address,,tool_required,0.0,0.0
retail,28,"You want to return the skateboard, garden hose, backpack, keyboard, bed from a recent order and also cancel the hose ...",none,11,5+,calculate,,tool_required,0.0,0.0
retail,30,You just received your tablet and it was damaged when you opened the package. You want to know the tracking number of...,none,13,5+,return_delivered_order_items,,tool_required,0.0,0.0
retail,34,"You had a work-from-home situation and ordered three home office items along with some hiking items, so that you can ...",none,6,5+,modify_pending_order_address,,tool_required,0.0,0.0
retail,43,"You ordered some things for your daughter but she has not received them, so you want to know which address the order ...",none,5,5+,modify_user_address,,tool_required,0.0,0.0
retail,48,You want to return an air purifier that you received since it doesn't work well.  You want the refund on your origina...,none,6,5+,return_delivered_order_items,,tool_required,0.0,0.0
retail,52,The digital camera you received doesn't zoom as far as you expected. You use the camera for bird-watching and want to...,none,5,5+,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,6,"You want to exchange the water bottle and the desk lamp. You want to exchange the water bottle to a bigger one, and t...",none,6,5+,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,67,You want to check how much you paid for the order that you most recently placed. You are not sure how long ago the or...,none,5,5+,get_order_details,,tool_required,0.0,0.0
retail,7,"You want to exchange the water bottle and the desk lamp. You want to exchange the water bottle to a bigger one, and t...",none,6,5+,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,76,You ordered a fleece jacket by mistake and want to remove it from your pending order. If removing one item is not pos...,none,2,1-2,cancel_pending_order,,tool_required,0.0,0.0
retail,84,You received two tablets and you only need one. You want to return the less expensive one and refund to credit card. ...,none,1,1-2,return_delivered_order_items,,tool_required,0.0,0.0
retail,88,"You want to change the book shelf to 4 foot but with the same material and color. If it is not available, cancel the ...",none,1,1-2,cancel_pending_order,,tool_required,0.0,0.0
retail,95,"You received a laptop and you want to exchange it to i7 processor, 8GB, 1TB SSD. If the agent asks for which laptop, ...",none,2,1-2,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,98,You want to exchange your Bicycle to a larger frame size for your kid. Jigsaw Puzzle in the same order also needs to ...,none,3,3-4,cancel_pending_order,,tool_required,0.0,0.0
retail,99,You want to exchange your Bicycle to a larger frame size for your kid. The Jigsaw Puzzle in the same order also needs...,none,2,1-2,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,0,You received your order #W2378156 and wish to exchange the mechanical keyboard for a similar one but with clicky swit...,none,5,5+,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,10,"For some reason, you want to return all things ordered. You have two payment methods and two orders, and you want to ...",none,5,5+,transfer_to_human_agents,,tool_required,1.0,1.0
retail,103,You want to return the bookshelf and jigsaw you received in the same order. Make sure you mention at the beginning th...,none,4,3-4,modify_pending_order_items,,tool_required,0.0,0.0
retail,105,"For order #W4316152, you want to  exchange one Tea Kettle {'material': 'glass', 'capacity': '2 liters', 'stovetop com...",none,1,1-2,exchange_delivered_order_items,,tool_required,1.0,1.0
retail,106,"You want to exchange your T-Shirt because it is too big, one size smaller would be good. You like the cotton feeling....",none,1,1-2,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,107,"You received hiking boots that seem like they were already worn, you are unhappy about it and want to ask for a new p...",none,2,1-2,exchange_delivered_order_items,,tool_required,0.0,0.0
retail,109,Address change + exchange,none,3,3-4,modify_pending_order_items,,tool_required,0.0,0.0
retail,11,"For some reason, you want to return all things ordered. You have two payment methods and two orders, and you want to ...",none,6,5+,return_delivered_order_items,,tool_required,0.0,0.0
retail,110,"You live on Elm Avenue in Houston, and recently you moved to a new house on the same street and bought a tablet sent ...",none,3,3-4,modify_pending_order_items,,tool_required,0.0,0.0
retail,113,Test agent ability to cancel all orders in one shot.,none,2,1-2,cancel_pending_order,,tool_required,0.0,0.0
retail,13,You just got into gaming and want to cancel or return everything not associated with it. (Everything except a keyboar...,none,6,5+,return_delivered_order_items,,tool_required,0.0,0.0
retail,14,"You just quit gaming and want to cancel or return everything associated with it. (It's just a keyboard and a mouse, b...",none,6,5+,return_delivered_order_items,,tool_required,0.0,0.0
retail,15,"You want to modify the pending boots to a size 8, and want the material, but do not care about waterproof or not.",none,7,5+,modify_pending_order_items,,tool_required,0.0,0.0
retail,20,"You just won a lottery, and you want to upgrade all your items to the most expensive variants (the new variants can h...",none,10,5+,get_order_details,,tool_required,0.0,0.0
